City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
448,kenora,CA,75.2,broken clouds,49.82,-94.43,Maynard Lake Lodge
449,freeport,BS,82.0,few clouds,40.66,-73.58,The Freeport Inn and Marina
450,zarautz,ES,68.0,broken clouds,43.28,-2.17,Hotel Zarauz
451,balkanabat,TM,73.71,overcast clouds,39.51,54.37,Nebitchi Hotel
455,santa rosa,CO,82.0,overcast clouds,14.31,121.11,Amethyst Econotel
457,maria aurora,PH,76.41,overcast clouds,15.8,121.47,Engr. Joseph Digno Residence
459,sambava,MG,68.72,overcast clouds,-14.27,50.17,Melrose
462,urumqi,CN,71.6,clear sky,43.8,87.6,Hua Ling Grand Hotel Urumqi
463,nabire,ID,75.15,overcast clouds,-3.37,135.48,Hotel Nusantara Nabire
464,ikom,NG,72.86,moderate rain,5.97,8.71,Reho Farm & Resort
465,pontianak,ID,75.42,light rain,-0.03,109.33,Aston Pontianak Hotel & Convention Center
469,petit goave,HT,77.0,overcast clouds,18.43,-72.87,Imperial Suite International
473,padang,ID,78.22,overcast clouds,-0.95,100.35,Mercure Padang
481,anito,PH,77.85,clear sky,12.45,125.29,The Yellow House
484,honiara,SB,75.2,overcast clouds,-9.43,159.95,Heritage Park Hotel
485,cayenne,GF,77.0,scattered clouds,4.93,-52.33,Hôtel Le Dronmi
488,jatiroto,ID,70.41,few clouds,-7.88,111.12,Mushola Al Huda
489,san giovanni in persiceto,IT,73.0,moderate rain,44.64,11.18,Ipoint Hotel
491,sinnamary,GF,80.82,scattered clouds,5.38,-52.95,ALETHEIA Appartement Sinnamary
493,soddy-daisy,US,82.0,light rain,35.24,-85.19,Home Town Inn Soddy-Daisy
496,kalmunai,LK,78.76,clear sky,7.42,81.82,VS Villa
497,lao cai,VN,75.42,few clouds,22.48,103.95,Legend Hotel
505,kretinga,LT,66.2,scattered clouds,55.88,21.25,Vienkiemis
507,nongan,CN,69.8,light rain,44.38,125.17,Quanhu Resort
510,mabaruma,GY,79.57,light rain,8.2,-59.78,
511,olga,RU,65.25,overcast clouds,43.74,135.29,Gostinitsa Rosmorport.
513,waingapu,ID,73.22,scattered clouds,-9.66,120.26,Pondok Wisata Elim
516,fundao,PT,72.0,broken clouds,-19.93,-40.4,City Hotel
525,piacabucu,BR,73.29,few clouds,-10.41,-36.43,Piaçabuçu News
527,enumclaw,US,77.0,clear sky,47.2,-121.99,Cedars Inn
528,lakatoro,VU,78.8,broken clouds,-16.1,167.42,Lakatoro Palm Lodge
530,batie,BF,74.66,clear sky,9.88,-2.92,Auberge SONDAR AFACI
531,cotonou,BJ,75.2,few clouds,6.37,2.42,Novotel Cotonou Orisha
532,dapaong,TG,73.63,broken clouds,10.86,0.2,Hotel Caroli
533,pemangkat,ID,75.87,overcast clouds,1.17,108.97,Kost H.Syamsuddin
534,quatre cocos,MU,71.01,shower rain,-20.21,57.76,Veranda Palmar Beach Hotel
535,jiutai,CN,69.8,light rain,44.15,125.83,Jinhua Restaurant
540,dauphin,CA,78.8,clear sky,51.15,-100.05,Canway Inn & Suites
541,mikuni,JP,75.2,scattered clouds,36.22,136.15,Haiya
544,rio verde de mato grosso,BR,78.55,clear sky,-18.92,-54.84,Hotel Valência
546,bar harbor,US,72.0,overcast clouds,44.39,-68.2,Atlantic Oceanside Hotel & Event Center
547,san pedro,AR,82.0,overcast clouds,14.35,121.02,OYO 412 Viewfort Venue
548,wamba,CD,70.45,overcast clouds,8.93,8.6,Roma Zee Guest House Annex
551,abha,SA,71.6,broken clouds,18.22,42.51,Abha Hotel
554,daru,PG,76.87,overcast clouds,-9.08,143.21,New century hotel
557,vrangel,RU,68.4,broken clouds,42.73,133.08,"Отель ""БАЛИ"""
558,palasbari,IN,78.31,overcast clouds,26.14,91.55,Hotel Kings Castle
563,cururupu,BR,75.78,broken clouds,-1.83,-44.87,Pousada Través'cia
564,cambuga,PH,77.27,overcast clouds,13.62,122.45,
571,koidu,SL,72.14,light rain,8.42,-10.83,
574,shiyan,CN,74.43,overcast clouds,32.65,110.78,Karen International Hotel
577,kamaishi,JP,74.91,overcast clouds,39.27,141.88,Hotel Route Inn Kamaishi
578,katete,ZM,66.54,light rain,-0.78,29.75,
579,pachino,IT,80.01,clear sky,36.72,15.09,Il Veliero
580,fontenay-le-comte,FR,66.2,overcast clouds,46.58,-1.0,Le relais de la cure
581,baoning,CN,75.2,mist,25.34,110.03,
587,rafai,CF,68.29,overcast clouds,4.95,23.92,
588,tezu,IN,75.65,overcast clouds,27.92,96.17,Circuit House
589,kokoda,PG,77.05,overcast clouds,-8.88,147.74,Daito Guest House
590,conceicao da barra,BR,65.46,overcast clouds,-18.59,-39.73,Cricaré Praia Hotel
593,zhanaozen,KZ,67.48,overcast clouds,43.3,52.8,K.korabay 28A
594,sioux lookout,CA,77.0,overcast clouds,50.1,-91.92,Knobby's Fly-In Camps
598,biak,ID,74.25,clear sky,-0.91,122.88,Kost Ariz
600,quesnel,CA,66.2,clear sky,53.0,-122.5,Ramada Limited Quesnel
601,mana,GF,80.78,few clouds,5.66,-53.78,LE SAMANA
603,korla,CN,75.94,clear sky,41.76,86.15,Gulisitan Hotel
606,huarmey,PE,65.53,clear sky,-10.07,-78.15,Hotel Miramar
608,juba,SD,70.34,light rain,4.85,31.58,ROYAL PALACE HOTEL - JUBA
609,maceio,BR,73.4,few clouds,-9.67,-35.74,Mercure Maceio Pajucara Hotel
610,thunder bay,CA,73.4,scattered clouds,48.4,-89.32,Victoria Inn Hotel and Convention Centre
611,bermeo,ES,69.01,scattered clouds,43.42,-2.72,Eco-Hotel Mundaka
614,kathu,TH,82.0,few clouds,7.92,98.33,Sunset Beach Resort
617,sungurlare,BG,71.6,clear sky,42.77,26.78,
618,sigli,ID,78.87,light rain,5.38,95.96,Hotel Riza
620,aquiraz,BR,78.8,scattered clouds,-3.9,-38.39,Hotel Laguna Blu
624,inyonga,TZ,66.4,few clouds,-6.72,32.07,Eden Rock Lodge
626,viytivka,UA,65.52,clear sky,48.43,29.54,
628,suruc,TR,71.6,clear sky,36.98,38.42,Kumbet Otel
629,marawi,SD,75.0,broken clouds,8.0,124.29,Salihmaruhom
636,san miguel,PA,78.8,broken clouds,13.48,-88.18,Excalibur
639,kerrobert,CA,80.6,few clouds,51.92,-109.13,"Motel 6 Kerrobert, SK"
643,matane,CA,66.2,scattered clouds,48.83,-67.52,Hotel-Motel Belle Plage
645,luwuk,ID,74.66,clear sky,-0.95,122.79,Hotel Santika Luwuk
646,gurupa,BR,76.96,light rain,-1.41,-51.64,Residencial DWD
647,kyaikto,MM,75.7,light rain,17.3,97.02,သက်တန့်အိမ်
648,corinto,NI,81.0,clear sky,37.94,22.96,Ephira Hotel
649,qinzhou,CN,80.38,clear sky,21.95,108.62,Jinjiang Inn Style Qingzhou Walmart
652,paredon,MX,81.01,light rain,16.03,-93.87,Hotel Principal Paredon
656,hanzhong,CN,65.08,overcast clouds,33.07,107.03,Guorui Hotel
657,jiaocheng,CN,75.97,few clouds,24.68,116.14,Changtan Tourism Resort
658,grand-santi,GF,75.02,light rain,4.25,-54.38,Hotel La Villa Couacou
659,irece,BR,73.42,few clouds,-11.3,-41.86,RADAR INN HOTEL
664,hami,CN,76.19,light rain,42.8,93.45,Laoyutang Resort
667,hobyo,SO,75.63,scattered clouds,5.35,48.53,Osmani Hotel
668,kifri,IQ,79.59,clear sky,34.7,44.97,میزان کفری
671,formosa,AR,77.0,few clouds,-26.18,-58.18,Asterión Hotel
673,tongliao,CN,67.66,light rain,43.61,122.27,Meirujia Hotel
676,kuliyapitiya,LK,80.6,few clouds,7.47,80.04,Rest House
677,sao jose de ribamar,BR,77.0,broken clouds,-2.56,-44.05,Decida Praia
678,sao jose da coroa grande,BR,74.05,overcast clouds,-8.9,-35.15,Crôa Mares Hotel
682,grand gaube,MU,71.01,scattered clouds,-20.01,57.66,Veranda Paul et Virginie Hotel & Spa
685,kanpur,IN,78.8,mist,26.47,80.35,Little Chef Hotel
686,cascais,PT,70.0,few clouds,38.7,-9.42,Hotel Vila Galé Cascais
688,barahona,DO,75.2,thunderstorm with rain,18.21,-71.1,Hotel Caribe
690,bartica,GY,75.2,thunderstorm with light rain,6.4,-58.62,La Vista Hotel and Apartment
