City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
153,Goderich,CA,2020-08-19 23:28:04,43.75,-81.72,69.01,62,15,5.79
154,Leningradskiy,RU,2020-08-19 23:28:04,69.38,178.42,55.24,49,67,5.7
155,Quang Ngai,VN,2020-08-19 23:28:04,15.12,108.8,77.38,82,100,4.0
156,Winnemucca,US,2020-08-19 23:27:42,40.97,-117.74,96.8,12,1,18.34
157,Vladyslavivka,UA,2020-08-19 23:28:05,45.17,35.37,70.61,64,0,4.14
158,Dzaoudzi,YT,2020-08-19 23:28:05,-12.79,45.27,69.8,94,34,3.36
159,Tezu,IN,2020-08-19 23:28:05,27.92,96.17,76.03,66,58,3.4
160,Wiang Sa,TH,2020-08-19 23:28:05,8.64,99.37,78.8,100,20,5.82
161,Cabo San Lucas,MX,2020-08-19 23:28:06,22.89,-109.91,75.99,94,90,35.57
162,Les Cayes,HT,2020-08-19 23:28:06,18.2,-73.75,83.3,76,17,7.38
163,Kutum,SD,2020-08-19 23:28:06,14.2,24.67,72.43,77,100,9.06
164,Beloha,MG,2020-08-19 23:28:06,-25.17,45.05,65.17,88,36,2.13
165,Port-Gentil,GA,2020-08-19 23:28:07,-0.72,8.78,75.2,83,90,17.36
166,Kahului,US,2020-08-19 23:28:07,20.89,-156.47,91.4,43,40,20.8
167,Khash,IR,2020-08-19 23:28:07,28.22,61.22,70.07,23,2,3.67
168,Karratha,AU,2020-08-19 23:28:07,-20.74,116.85,66.15,31,0,11.45
169,Esperance,AU,2020-08-19 23:28:07,-33.87,121.9,44.6,100,75,9.17
170,Cherskiy,RU,2020-08-19 23:28:08,68.75,161.3,43.84,69,97,8.05
171,Matadi,CD,2020-08-19 23:28:08,-5.82,13.45,75.11,77,62,4.5
172,Kruisfontein,ZA,2020-08-19 23:28:08,-34.0,24.73,45.07,78,22,6.55
173,Yerbogachen,RU,2020-08-19 23:28:08,61.28,108.01,53.46,57,5,6.73
174,Haines Junction,CA,2020-08-19 23:28:09,60.75,-137.51,61.75,43,100,2.08
175,Kapit,MY,2020-08-19 23:28:09,2.02,112.93,72.99,93,94,1.39
176,Nortelandia,BR,2020-08-19 23:28:09,-14.45,-56.8,85.62,22,29,3.11
177,Chara,RU,2020-08-19 23:28:09,56.91,118.26,59.18,45,60,1.54
178,Lichuan,CN,2020-08-19 23:28:10,30.3,108.85,64.71,93,52,1.16
179,Jacareacanga,BR,2020-08-19 23:28:10,-6.22,-57.75,85.03,36,1,1.95
180,Koumra,TD,2020-08-19 23:28:10,8.91,17.55,69.55,96,100,0.56
181,Komsomolskiy,UZ,2020-08-19 23:28:10,40.43,71.72,68.0,64,35,6.93
182,Stillwater,US,2020-08-19 23:28:11,36.12,-97.06,88.0,38,1,8.05
183,Chandbali,IN,2020-08-19 23:28:11,20.78,86.77,77.56,95,100,10.09
184,Pisco,PE,2020-08-19 23:28:12,-13.7,-76.22,64.4,72,1,20.8
185,Labuhan,ID,2020-08-19 23:28:12,-6.88,112.21,75.63,83,94,6.13
186,Ascension,US,2020-08-19 23:28:12,30.22,-90.9,93.2,41,75,4.7
187,Tambacounda,SN,2020-08-19 23:28:12,13.75,-13.76,80.6,88,79,2.24
188,Barkly West,ZA,2020-08-19 23:28:13,-28.54,24.52,32.0,67,0,6.33
189,Yar-Sale,RU,2020-08-19 23:28:13,66.83,70.83,53.24,73,72,13.96
190,College,US,2020-08-19 23:28:14,64.86,-147.8,70.0,56,75,3.71
191,Kaitangata,NZ,2020-08-19 23:28:14,-46.28,169.85,51.01,82,4,1.99
192,Nanakuli,US,2020-08-19 23:28:14,21.39,-158.15,87.8,45,75,12.75
193,Mariinsk,RU,2020-08-19 23:28:14,56.21,87.75,51.8,91,35,5.73
194,Mount Gambier,AU,2020-08-19 23:27:31,-37.83,140.77,48.2,93,75,8.05
195,Mumbwa,ZM,2020-08-19 23:28:15,-14.98,27.06,64.83,44,16,3.02
196,Vila Velha,BR,2020-08-19 23:28:15,-20.33,-40.29,77.0,83,40,13.87
197,San-Pedro,CI,2020-08-19 23:24:55,4.75,-6.64,74.39,88,100,8.16
198,Sioux Lookout,CA,2020-08-19 23:28:16,50.1,-91.92,69.8,77,75,4.7
199,San Quintin,MX,2020-08-19 23:28:16,30.48,-115.95,81.91,56,10,10.89
200,Purpe,RU,2020-08-19 23:28:16,64.48,76.69,55.99,94,0,8.39
201,Inhambane,MZ,2020-08-19 23:28:16,-23.86,35.38,66.81,69,97,11.65
202,Darhan,MN,2020-08-19 23:28:17,49.49,105.92,57.51,77,96,8.41
203,Capreol,CA,2020-08-19 23:28:17,46.71,-80.92,66.99,55,75,3.36
204,Quibdo,CO,2020-08-19 23:27:51,5.69,-76.66,82.4,74,75,1.23
205,Nome,US,2020-08-19 23:28:18,64.5,-165.41,61.0,81,75,14.99
206,Nishihara,JP,2020-08-19 23:28:18,26.18,127.76,86.0,83,40,9.17
207,Andenes,NO,2020-08-19 23:28:18,69.31,16.12,46.4,87,71,9.17
208,Port Lincoln,AU,2020-08-19 23:28:19,-34.73,135.87,54.23,73,24,18.05
209,Solenzo,BF,2020-08-19 23:28:19,12.18,-4.08,76.3,87,100,4.16
210,Cidreira,BR,2020-08-19 23:25:31,-30.18,-50.21,54.88,72,79,15.61
211,Duluth,US,2020-08-19 23:28:19,46.78,-92.11,79.0,54,1,19.46
212,Mayumba,GA,2020-08-19 23:28:19,-3.43,10.66,72.48,89,100,7.58
213,Hobyo,SO,2020-08-19 23:28:20,5.35,48.53,76.96,83,96,18.57
214,Codrington,AU,2020-08-19 23:28:20,-38.27,141.97,48.7,85,89,12.86
215,Richards Bay,ZA,2020-08-19 23:28:20,-28.78,32.04,60.39,69,23,5.75
216,Provideniya,RU,2020-08-19 23:28:20,64.38,-173.3,59.0,67,40,11.18
217,Viedma,AR,2020-08-19 23:28:21,-40.81,-63.0,34.0,85,33,7.52
218,Hilo,US,2020-08-19 23:28:21,19.73,-155.09,82.4,65,90,9.17
219,Bulawayo,ZW,2020-08-19 23:28:21,-20.15,28.58,53.04,83,75,17.25
220,Caravelas,BR,2020-08-19 23:28:21,-17.71,-39.25,72.52,85,6,7.72
221,Vostok,RU,2020-08-19 23:28:21,46.49,135.88,53.87,76,91,3.98
222,Port Blair,IN,2020-08-19 23:28:22,11.67,92.75,82.17,79,100,13.62
223,Salisbury,GB,2020-08-19 23:28:22,51.07,-1.8,68.0,100,100,23.11
224,Hermanus,ZA,2020-08-19 23:28:22,-34.42,19.23,45.0,92,99,8.5
225,Prince Rupert,CA,2020-08-19 23:26:15,54.32,-130.32,57.2,93,90,3.36
226,Souillac,MU,2020-08-19 23:28:22,-20.52,57.52,68.0,82,40,10.29
227,Zyryanka,RU,2020-08-19 23:28:23,65.75,150.85,47.91,56,79,17.11
228,Shambu,ET,2020-08-19 23:28:23,9.57,37.1,51.49,99,100,0.89
229,Vaijapur,IN,2020-08-19 23:28:23,19.92,74.73,74.55,86,100,10.11
230,Narsaq,GL,2020-08-19 23:28:24,60.92,-46.05,55.4,58,27,4.7
231,Hofn,IS,2020-08-19 23:28:24,64.25,-15.21,47.16,73,14,16.31
232,Tongchuan,CN,2020-08-19 23:28:24,35.08,109.09,66.25,87,80,3.2
233,Kulhudhuffushi,MV,2020-08-19 23:28:24,6.62,73.07,81.52,76,100,12.24
234,Jinan,CN,2020-08-19 23:28:24,36.67,117.0,73.0,88,100,1.01
235,Kobryn,BY,2020-08-19 23:28:25,52.21,24.36,63.52,90,93,4.83
236,Bac Lieu,VN,2020-08-19 23:28:25,9.29,105.72,79.34,85,100,5.75
237,Ombessa,CM,2020-08-19 23:28:25,4.6,11.26,69.71,98,56,4.5
238,Sorland,NO,2020-08-19 23:28:25,67.67,12.69,50.92,74,87,8.61
239,Kloulklubed,PW,2020-08-19 23:28:25,7.04,134.26,82.4,83,75,6.93
240,Sobolevo,RU,2020-08-19 23:28:26,54.43,31.9,57.76,95,100,11.16
241,Chokurdakh,RU,2020-08-19 23:28:26,70.63,147.92,35.67,96,100,10.45
242,Hvolsvollur,IS,2020-08-19 23:28:26,63.75,-20.22,48.99,97,100,5.99
243,Daru,PG,2020-08-19 23:28:27,-9.08,143.21,78.08,71,1,7.25
244,Yulara,AU,2020-08-19 23:28:27,-25.24,130.99,51.8,47,2,4.7
245,Talnakh,RU,2020-08-19 23:28:27,69.49,88.4,59.0,47,44,11.18
246,Puerto Escondido,MX,2020-08-19 23:26:23,15.85,-97.07,78.8,69,90,4.7
247,Torbay,CA,2020-08-19 23:28:28,47.67,-52.73,64.99,88,75,12.75
248,Cumaral,CO,2020-08-19 23:28:28,4.27,-73.49,80.6,74,40,4.7
249,Madinat Sittah Uktubar,EG,2020-08-19 23:28:28,29.82,31.05,78.8,69,0,5.82
250,East London,ZA,2020-08-19 23:28:28,-33.02,27.91,53.42,60,0,5.91
251,Praia,CV,2020-08-19 23:28:29,14.92,-23.51,78.8,74,20,10.29
